,country_code,region_id,region_level,region_name,support_below_18
363,US,670,PROVINCE,"Fort Smith-Fayetteville-Springdale-Rogers,DMA®",True
364,US,546,PROVINCE,"Columbia, SC,DMA®",True
365,US,749,PROVINCE,"Laredo,DMA®",True
366,NL,2748838,PROVINCE,Overijssel,True
367,DE,2950157,PROVINCE,Berlin,True
368,JP,2112922,PROVINCE,Fukushima,True
369,US,5481136,PROVINCE,New Mexico,True
370,CA,5883102,PROVINCE,Alberta,True
371,TR,743942,PROVINCE,Kars,True
372,US,523,PROVINCE,"Burlington-Plattsburgh,DMA®",True
373,DE,2847618,PROVINCE,Rhineland Palatinate,True
374,US,4544379,PROVINCE,Oklahoma,True
375,US,705,PROVINCE,"Wausau-Rhinelander,DMA®",True
376,US,5815135,PROVINCE,Washington,True
377,SA,108411,PROVINCE,Ar Riyad,True
378,US,619,PROVINCE,"Springfield, MO,DMA®",True
379,TR,315367,PROVINCE,Erzurum,True
380,CA,6113358,PROVINCE,Prince Edward Island,True
381,PL,858788,PROVINCE,Subcarpathian,True
382,US,581,PROVINCE,"Terre Haute,DMA®",True
383,US,717,PROVINCE,"Quincy-Hannibal-Keokuk,DMA®",True
384,IT,2523228,PROVINCE,Sardinia,True
385,NL,2755812,PROVINCE,Friesland,True
386,SE,2664179,PROVINCE,Vastmanland,True
387,IE,2960992,PROVINCE,Waterford City and County,True
388,US,755,PROVINCE,"Great Falls,DMA®",True
389,US,4826850,PROVINCE,West Virginia,True
390,US,5843591,PROVINCE,Wyoming,True
391,CA,6185811,PROVINCE,Yukon,True
392,KZ,609862,PROVINCE,Atyrau Region,True
393,KZ,1518003,PROVINCE,Akmola Region,True
394,JP,1852553,PROVINCE,Shiga,True
395,FI,830695,PROVINCE,South Savo,True
396,AT,2781194,PROVINCE,Burgenland,True
397,US,4197000,PROVINCE,Georgia,True
398,US,687,PROVINCE,"Minot-Bismarck-Dickinson (Williston),DMA®",True
399,US,718,PROVINCE,"Jackson, MS,DMA®",True
400,US,661,PROVINCE,"San Angelo,DMA®",True
401,BR,3924825,PROVINCE,Rondonia,True
402,RO,677697,PROVINCE,Galati,True
403,US,819,PROVINCE,"Seattle-Tacoma,DMA®",True
404,IE,2962187,PROVINCE,Offaly,True
405,SE,2712411,PROVINCE,Gavleborg,True
406,NO,3143242,PROVINCE,Oslo,True
407,PL,858785,PROVINCE,Lublin,True
408,PT,2267094,PROVINCE,Leiria,True
409,RO,676898,PROVINCE,Gorj,True
410,AT,2763586,PROVINCE,Tyrol,True
411,JP,1856710,PROVINCE,Miyazaki,True
412,US,734,PROVINCE,"Jonesboro,DMA®",True
413,PT,2732264,PROVINCE,Viseu,True
414,US,760,PROVINCE,"Twin Falls,DMA®",True
415,AE,292673,PROVINCE,Sharjah,True
416,KR,8394437,PROVINCE,Sejong,True
417,DE,2945356,PROVINCE,Brandenburg,True
418,EG,360483,PROVINCE,New Valley,True
419,CH,2661551,PROVINCE,Bern,True
420,KR,1843125,PROVINCE,Gangwon,True
421,TR,303830,PROVINCE,Nevsehir,True
422,EG,361468,PROVINCE,Red Sea,True
423,RO,684039,PROVINCE,Botosani,True
424,US,881,PROVINCE,"Spokane,DMA®",True
425,US,560,PROVINCE,"Raleigh-Durham (Fayetteville),DMA®",True
426,US,641,PROVINCE,"San Antonio,DMA®",True
427,MA,11281880,PROVINCE,Marrakesh-Safi,True
428,AE,292224,PROVINCE,Dubai,True
429,JP,2113014,PROVINCE,Chiba,True
430,CH,2658205,PROVINCE,Valais,True
431,US,737,PROVINCE,"Mankato,DMA®",True
432,BR,3392268,PROVINCE,Pernambuco,True
433,CH,2658370,PROVINCE,Ticino,True
434,IE,2962943,PROVINCE,Limerick City and County,True
435,US,5667009,PROVINCE,Montana,True
436,TR,317106,PROVINCE,Denizli,True
437,BD,1185286,PROVINCE,Barisal,True
438,BR,3457415,PROVINCE,Mato Grosso do Sul,True
439,US,4155751,PROVINCE,Florida,True
440,US,804,PROVINCE,"Palm Springs,DMA®",True
441,CH,2657895,PROVINCE,Zurich,True
442,US,592,PROVINCE,"Gainesville,DMA®",True
443,CH,2661739,PROVINCE,Appenzell Ausserrhoden,True
