iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso2
CRI;147839.0;141641.0;271457.0;260668.0;414478.0;403057.0;386072.0;388197.0;297212.0;319385.0;528157.0;610643.0;0.9580760151245612;0.9602552153748108;0.9724448583519512;1.005504154665451;1.0746033134597526;1.156177045840536;2045215.0;2123591.0;4168806.0;1.0383216434457991;CR
CUB;236225.0;224898.0;477997.0;456765.0;749265.0;709500.0;685844.0;659360.0;868149.0;898650.0;1604644.0;1864196.0;0.9520499523759128;0.9555813111797772;0.9469279894296412;0.961384804707776;1.0351333699629903;1.161750519118259;4622124.0;4813369.0;9435493.0;1.0413759994322955;CU
CUW;4205.0;4083.0;9469.0;8301.0;16420.0;13960.0;11310.0;11602.0;10804.000000000002;13092.0;22445.000000000004;33164.99999999999;0.970986920332937;0.8766501214489386;0.8501827040194885;1.025817860300619;1.2117734172528691;1.4776119402985068;74653.0;84203.0;158856.0;1.1279252005947518;CW
CYM;1526.0;1483.0;2559.0;2522.0;5979.0;5910.0;7063.0;6867.0;6457.0;6178.0;7172.999999999998;7581.000000000001;0.971821756225426;0.9855412270418132;0.9884596086302058;0.9722497522299306;0.9567910794486604;1.0568799665411963;30757.0;30541.0;61298.0;0.9929772084403552;KY
CYP;27005.0;25408.0;52441.00000000001;50262.0;116183.0;104029.0;126384.0;115257.0;87479.0;92402.0;160811.0;178837.0;0.9408628031845956;0.9584485421712018;0.8953891705326941;0.9119587922521838;1.05627636347009;1.1120943219058397;570303.0;566195.0;1136498.0;0.9927968115194904;CY
CZE;238138.0;227884.0;385779.0;369423.0;681332.0;640873.0;802552.0;748765.0;851755.0;810889.0;1567080.0;1915577.0;0.9569409334083598;0.9576026688855536;0.9406177898586886;0.9329800436607224;0.952021414608661;1.222386221507517;4526636.0;4713411.0;9240047.0;1.041261325187181;CZ
DEU;1570581.0;1481371.0;3072591.0;2834369.0;5405591.0;5007423.0;5463654.0;5304351.0;5496809.0;5456163.0;15022915.0;17306494.0;0.9431993638023126;0.922468691732808;0.9263414490663464;0.9708431390421136;0.992605528043634;1.1520063849126485;36032141.0;37390171.0;73422312.0;1.037689406244275;DE
DJI;46410.0;45672.0;79007.0;78365.00000000001;93011.0;93396.0;73804.0;75788.0;56888.0;60164.0;57543.0;66606.0;0.98409825468649;0.9918741377346312;1.0041392953521626;1.026882011815078;1.057586837294333;1.1574996089880611;406663.0;419991.0;826654.0;1.032774065995677;DJ
DMA;1691.0;1797.0;3170.0;3155.0;5410.0;5365.0;4763.0;4557.0;4455.0;4283.0;8274.0;8486.0;1.0626848018923714;0.995268138801262;0.9916820702402958;0.9567499475120722;0.961391694725028;1.0256224317138023;27763.0;27643.0;55406.0;0.9956777005366856;DM
DNK;142367.0;135795.0;262241.0;252666.0;410261.0;394625.0;348652.0;342561.0;386523.0;387016.0;948313.0;1043716.0000000002;0.9538376168634586;0.9634877841374918;0.9618876763816204;0.9825298578525292;1.0012754739045284;1.1006028600261728;2498357.0;2556379.0;5054736.0;1.0232240628541078;DK
DOM;397682.0;381375.0;690934.0;666442.0;912407.0;894882.0;744642.0;745863.0;595167.0;616363.0;815734.9999999999;967490.0;0.9589948753023771;0.9645523306133436;0.9807925629680614;1.0016397141176565;1.0356135336804628;1.1860346803802706;4156567.0;4272415.0;8428982.0;1.027871077261596;DO
DZA;1499953.0;1433549.0;2066624.0;1992827.0;3528523.0;3304429.0;3673647.0;3473051.0;2663745.0;2540016.0;3161529.0000000005;3189117.0;0.9557292795174248;0.9642910369762472;0.9364907073016104;0.9453959512168698;0.953550734022964;1.008726157501639;16594021.0;15932989.0;32527010.0;0.9601644471825124;DZ
ECU;644381.0;618853.0;1114295.0;1077562.0;1503493.0;1478553.0;1251913.0;1256548.0;953306.0;980389.0;1313418.0;1505445.0;0.960383686049092;0.9670347618898048;0.9834119613460124;1.0037023339481257;1.028409555798453;1.146204026440935;6780806.0;6917350.0;13698156.0;1.0201368391899135;EC
EGY;4383052.0;4189992.0;6892220.0;6601221.000000001;8844637.0;8483311.0;7644512.000000001;7455167.0;5552973.0;5360964.0;6153680.0;7091865.0;0.9559530664933932;0.9577786257548369;0.9591474472044472;0.9752312508633644;0.9654223062132664;1.1524591788978302;39471074.0;39182520.0;78653594.0;0.9926894819228886;EG
ERI;172616.0;170291.0;253481.0;250369.0;240846.00000000003;239437.0;148080.0;156923.0;112931.0;130670.0;136193.0;174451.99999999997;0.9865307966816518;0.9877229457040172;0.9941497886616344;1.0597177201512695;1.1570782159017452;1.2809175214585182;1064147.0;1122142.0;2186289.0;1.054499049473428;ER
