iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
CHE;2000;2000;403563;392317;546458;538992;383481;437666;264834;314355;256354;303788;1.0;0.9721;0.9863;1.1413;1.187;1.185;1856690;1989118;3845808;1.0713;1333502;1368975;1.0266;CH;1.0604;1.0385;1.0213;1.1635;1.1956;1.0614;1.045;1.0631;0.0113;0.012;1.2356;1.2831;0.9175;0.937;0.6041;0.7028;0.426;0.5093;0.1835;0.1948;0.4947;0.517;0.506;0.8564;0.9104
CIV;2000;2000;210008;118516;229670;129309;108250;62171;47575;17587;31604;14513;1.0;0.5643;0.563;0.5743;0.3697;0.4592;629107;344096;973203;0.547;547928;309996;0.5658;CI;1.0523;0.6161;0.5475;0.5866;0.4365;0.4807;0.5732;0.5797;0.0014;0.0015;0.1053;0.0649;0.1053;0.0577;0.0588;0.0345;0.0407;0.0177;0.0314;0.0151;0.0656;0.0376;0.0519;0.0911;0.0528
COK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;CK;1.0502;0.9868;0.8306;0.9007;0.9129;0.9539;0.9319;0.8975;3.8241;4.0161;3.3389;3.2949;2.8129;2.3364;2.4213;2.181;2.193;2.002;1.6648;1.5881;2.4195;2.2546;2.3341;2.809;2.521
CHL;2000;2058;1369608;1500537;1988038;2003975;1247742;1436083;671421;938712;607767;1017517;1.029;1.0956;1.008;1.1509;1.3981;1.6742;5886576;6898882;12785458;1.172;4605388;4940595;1.0728;CL;1.0717;1.1277;1.0325;1.1709;1.396;1.4874;1.1467;1.0974;0.0041;0.0044;1.4442;1.6286;1.2188;1.2583;0.8531;0.9989;0.5211;0.7274;0.2655;0.3949;0.7258;0.8323;0.7796;1.1393;1.2503
CMR;2000;2000;146200;90138;134913;88954;53273;33305;16815;8992;15446;10883;1.0;0.6165;0.6593;0.6252;0.5348;0.7046;368647;234272;602919;0.6355;334386;212397;0.6352;CM;1.0044;0.6169;0.6547;0.6177;0.5204;0.6164;0.6226;0.6315;0.0016;0.0016;0.0801;0.0494;0.0659;0.0431;0.0363;0.0224;0.0184;0.0096;0.0181;0.0112;0.044;0.0274;0.0356;0.0626;0.0395
CHN;2233;2000;631325;779109;949251;813045;321516;183821;56979;26784;21154;11234;0.8957;1.2341;0.8565;0.5717;0.4701;0.5311;1982458;1815993;3798451;0.916;1902092;1775975;0.9337;CN;1.0507;1.4402;0.9599;0.6072;0.4807;0.4761;0.9364;1.0331;0.0001;0.0001;0.0105;0.0151;0.0088;0.0085;0.003;0.0018;0.0005;0.0002;0.0001;0.0001;0.0033;0.0031;0.0032;0.0069;0.0071
COL;2209;8621;2464166;2913900;3245833;3722645;1762242;2271829;887229;1325658;830217;1385467;3.9027;1.1825;1.1469;1.2892;1.4942;1.6688;9191896;11628120;20820016;1.265;7472241;8908374;1.1922;CO;4.0649;1.2113;1.1492;1.2662;1.4134;1.4247;1.2127;1.1936;0.0014;0.0056;0.7978;0.9664;0.7264;0.8348;0.4707;0.596;0.2939;0.4154;0.1795;0.2557;0.4471;0.5423;0.4957;0.6612;0.7893
CRI;2000;2000;327429;366413;394271;410562;247341;293112;120058;153045;92716;136475;1.0;1.1191;1.0413;1.1851;1.2748;1.472;1183815;1361607;2545422;1.1502;969041;1070087;1.1043;CR;1.0437;1.1654;1.0709;1.1786;1.1863;1.2731;1.1078;1.1253;0.0135;0.0141;1.2062;1.4057;0.9512;1.0186;0.6407;0.7551;0.4039;0.4792;0.1755;0.2235;0.5788;0.6412;0.6106;0.904;1.0173
CPV;2000;2000;22495;21273;22028;22687;12591;14692;5030;5946;4205;4306;1.0;0.9457;1.0299;1.1669;1.1821;1.024;68349;70904;139253;1.0374;57114;58652;1.0269;CV;1.08;1.0743;1.1129;1.2897;1.2745;0.7991;1.0665;1.1326;0.0998;0.1078;0.7083;0.7608;0.454;0.5052;0.3163;0.4079;0.1955;0.2492;0.1294;0.1034;0.3446;0.3675;0.3559;0.4756;0.5387
CUW;2000;2000;5221;5981;8378;9835;6226;8578;4304;6227;5021;8173;1.0;1.1456;1.1739;1.3778;1.4468;1.6278;31150;40794;71944;1.3096;19825;24394;1.2305;CW;1.0299;1.3067;1.3807;1.3431;1.1939;1.1017;1.1611;1.3518;0.4756;0.4898;0.5514;0.7205;0.5102;0.7045;0.5505;0.7394;0.3984;0.4756;0.2237;0.2464;0.4173;0.4845;0.4529;0.5329;0.7204
CXR;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;CX;;;;;;;;;;;;;;;;;;;;;;;;;
CYP;2000;2000;108400;102770;141387;117983;84573;93421;47521;61446;41925;54208;1.0;0.9481;0.8345;1.1046;1.293;1.293;425806;431828;857634;1.0141;334360;314174;0.9396;CY;1.0628;0.9893;0.932;1.2112;1.2241;1.1627;1.0215;1.0283;0.0741;0.0787;2.0671;2.0447;1.2169;1.1341;0.6692;0.8105;0.5432;0.665;0.2607;0.3031;0.7466;0.7627;0.7546;1.1334;1.1656
CZE;2000;2000;506066;578058;556741;573712;313663;407874;210684;324674;127666;199804;1.0;1.1423;1.0305;1.3004;1.541;1.5651;1716820;2086122;3802942;1.2151;1376470;1559644;1.1331;CZ;1.045;1.1929;1.0956;1.3938;1.6187;1.2804;1.1669;1.2044;0.0084;0.0088;1.3118;1.5648;0.8171;0.8952;0.3908;0.5447;0.2474;0.4004;0.0815;0.1043;0.3793;0.4426;0.4116;0.7362;0.8866
DEU;2000;2000;3574579;3624917;4658333;4566667;2981924;3500000;1832262;2309680;1797267;2197428;1.0;1.0141;0.9803;1.1737;1.2606;1.2226;14846365;16200692;31047057;1.0912;11214836;11691584;1.0425;DE;1.0602;1.0993;1.0583;1.209;1.27;1.0613;1.0516;1.1056;0.0013;0.0014;1.1634;1.2789;0.8618;0.912;0.5458;0.6598;0.3333;0.4233;0.1196;0.127;0.412;0.4333;0.4229;0.8044;0.8894
