country_code,bucket,sex,pop
COM,2024,male,40657.0
COM,2024,female,38961.0
COM,2534,male,61156.0
COM,2534,female,63677.0
COM,3544,male,52046.0
COM,3544,female,51824.0
COM,4554,male,38104.0
COM,4554,female,36031.0
COM,55plus,male,23226.0
COM,55plus,female,22799.0
CPV,1014,male,25419.0
CPV,1014,female,23919.0
CPV,1519,male,25124.0
CPV,1519,female,23285.0
CPV,2024,male,22889.0
CPV,2024,female,20326.0
CPV,2534,male,46762.0
CPV,2534,female,42533.0
CPV,3544,male,43006.0
CPV,3544,female,39806.0
CPV,4554,male,27865.0
CPV,4554,female,25260.0
CPV,55plus,male,20714.0
CPV,55plus,female,21811.0
CRI,1014,male,180133.0
CRI,1014,female,172537.0
CRI,1519,male,184469.0
CRI,1519,female,176844.0
CRI,2024,male,188626.0
CRI,2024,female,181283.0
CRI,2534,male,408969.0
CRI,2534,female,397302.0
CRI,3544,male,402239.0
CRI,3544,female,400163.0
CRI,4554,male,311666.0
CRI,4554,female,331294.0
CRI,55plus,male,271371.0
CRI,55plus,female,298188.0
CSS,1014,male,129022.0
CSS,1014,female,125059.0
CSS,1519,male,129419.0
CSS,1519,female,125629.0
CSS,2024,male,128089.0
CSS,2024,female,124977.0
CSS,2534,male,256812.0
CSS,2534,female,257094.0
CSS,3544,male,210937.0
CSS,3544,female,219245.0
CSS,4554,male,180359.0
CSS,4554,female,191199.0
CSS,55plus,male,152510.0
CSS,55plus,female,166848.0
CUB,1014,male,317406.0
CUB,1014,female,298483.0
CUB,1519,male,299582.0
CUB,1519,female,285518.0
CUB,2024,male,326080.0
CUB,2024,female,311856.0
CUB,2534,male,706384.0
CUB,2534,female,667641.0
CUB,3544,male,738481.0
CUB,3544,female,707216.0
CUB,4554,male,774323.0
CUB,4554,female,791664.0
CUB,55plus,male,873158.0
CUB,55plus,female,948966.0
CUW,1014,male,4585.0
CUW,1014,female,4400.0
CUW,1519,male,4254.0
CUW,1519,female,4114.0
CUW,2024,male,5118.0
CUW,2024,female,4619.0
CUW,2534,male,13545.0
CUW,2534,female,11291.0
CUW,3544,male,9810.0
CUW,3544,female,9333.0
CUW,4554,male,8377.0
CUW,4554,female,9968.0
CUW,55plus,male,8804.0
CUW,55plus,female,11536.0
CYM,1014,male,1962.0
CYM,1014,female,1922.0
CYM,1519,male,2060.0
CYM,1519,female,1981.0
CYM,2024,male,1974.0
CYM,2024,female,1994.0
