iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
GEO;GE;2000;2000;274303;275270;403006;381307;327433;332504;229403;257057;276150;453700;1.0;1.0035;0.9462;1.0155;1.1205;1.6429;1512295;1701838;3214133;1.1253
GUF;GF;2000;2000;7093;7693;13724;15636;11207;12567;7586;7712;8351;8029;1.0;1.0846;1.1393;1.1214;1.0166;0.9614;49961;53637;103598;1.0736
GGY;GG;2000;2000;2500;2450;3867;3767;3667;3900;3200;3767;5853;7357;1.0;0.98;0.9741;1.0635;1.1772;1.257;21087;23241;44328;1.1021
GHA;GH;2000;2000;1361823;982155;1834423;1456123;1035539;703974;445194;233297;436308;247037;1.0;0.7212;0.7938;0.6798;0.524;0.5662;5115287;3624586;8739873;0.7086
GIB;GI;2000;2000;2000;2000;2376;2366;2200;2400;2100;2200;3900;4100;1.0;1.0;0.9958;1.0909;1.0476;1.0513;14576;15066;29642;1.0336
GRL;GL;2000;2000;3400;3300;5055;4900;4200;4100;3100;2700;5963;5569;1.0;0.9706;0.9693;0.9762;0.871;0.9339;23718;22569;46287;0.9516
GMB;GM;2000;2000;84022;49878;118121;66963;74551;30405;30789;8785;20578;9482;1.0;0.5936;0.5669;0.4078;0.2853;0.4608;330061;167513;497574;0.5075
GIN;GN;2000;2000;635051;557537;734594;550655;351715;204056;125442;63683;101342;60351;1.0;0.8779;0.7496;0.5802;0.5077;0.5955;1950144;1438282;3388426;0.7375
GLP;GP;2000;2000;6593;6469;19106;21465;16566;21586;16592;20169;27121;30621;1.0;0.9812;1.1235;1.303;1.2156;1.1291;87978;102310;190288;1.1629
GNQ;GQ;2000;2000;18097;17541;37173;27814;30187;15147;9221;3663;5239;3500;1.0;0.9693;0.7482;0.5018;0.3972;0.6681;101917;69665;171582;0.6835
