,country_code,region_id,region_level,region_name,support_below_18
400,ES,2593109,PROVINCE,Andalusia,True
401,BR,3450387,PROVINCE,Santa Catarina,True
402,CA,6091069,PROVINCE,Northwest Territories,True
403,US,5596512,PROVINCE,Idaho,True
404,MX,3514780,PROVINCE,Veracruz,True
405,TR,325329,PROVINCE,Adiyaman,True
406,AE,290595,PROVINCE,Umm Al Quwain,True
407,FR,11071625,PROVINCE,Auvergne Rhone Alpes,True
408,FI,830703,PROVINCE,Kymenlaakso,True
409,US,658,PROVINCE,"Green Bay-Appleton,DMA®",True
410,NL,3319179,PROVINCE,Flevoland,True
411,CH,2661602,PROVINCE,Basel Stadt,True
412,TR,308463,PROVINCE,Kayseri,True
413,PT,2740636,PROVINCE,Coimbra,True
414,US,5667009,PROVINCE,Montana,True
415,PT,2593105,PROVINCE,Madeira,True
416,ES,3336897,PROVINCE,La Rioja,True
417,PT,2268404,PROVINCE,Évora,True
418,BR,3457153,PROVINCE,Minas Gerais,True
419,US,603,PROVINCE,"Joplin-Pittsburg,DMA®",True
420,US,549,PROVINCE,"Watertown,DMA®",True
421,ES,2519582,PROVINCE,Ceuta,True
422,EG,360621,PROVINCE,Qalyubiyya,True
423,US,662,PROVINCE,"Abilene-Sweetwater,DMA®",True
424,FR,11071624,PROVINCE,Hauts de France,True
425,TR,743881,PROVINCE,Kastamonu,True
426,PT,2263478,PROVINCE,Santarém,True
427,CA,6087430,PROVINCE,New Brunswick,True
428,US,543,PROVINCE,"Springfield-Holyoke,DMA®",True
429,EG,355182,PROVINCE,South Sinai,True
430,US,747,PROVINCE,"Juneau,DMA®",True
431,AT,2764581,PROVINCE,Styria,True
432,SE,604010,PROVINCE,Norrbotten,True
433,US,4829764,PROVINCE,Alabama,True
434,US,766,PROVINCE,"Helena,DMA®",True
435,IE,2963031,PROVINCE,Laois,True
436,FI,831041,PROVINCE,Satakunta,True
437,RO,675917,PROVINCE,Hunedoara,True
438,JP,1861387,PROVINCE,Ishikawa,True
439,AE,292879,PROVINCE,Fujairah,True
440,US,5551752,PROVINCE,Arizona,True
441,IE,2962568,PROVINCE,Monaghan,True
442,TR,443188,PROVINCE,Kirikkale,True
443,TR,746878,PROVINCE,Giresun,True
444,JP,1858419,PROVINCE,Kumamoto,True
445,US,539,PROVINCE,"Tampa-St. Petersburg (Sarasota),DMA®",True
446,US,627,PROVINCE,"Wichita Falls & Lawton,DMA®",True
447,JP,1863983,PROVINCE,Fukui,True
448,TR,323776,PROVINCE,Antalya,True
449,MA,11281884,PROVINCE,Guelmim-Oued Noun,True
450,KZ,1518003,PROVINCE,Akmola Region,True
451,EG,359171,PROVINCE,Beni Suef,True
452,BR,3457415,PROVINCE,Mato Grosso do Sul,True
453,CH,2658372,PROVINCE,Thurgau,True
454,CH,2661603,PROVINCE,Basel Landschaft,True
455,US,828,PROVINCE,"Monterey-Salinas,DMA®",True
456,PK,1179245,PROVINCE,Federally Administered Tribal Areas,True
457,PL,3337495,PROVINCE,Opole,True
458,TR,307513,PROVINCE,Kirsehir,True
459,AT,2781194,PROVINCE,Burgenland,True
460,FR,2988289,PROVINCE,Pays de la Loire,True
461,US,553,PROVINCE,"Marquette,DMA®",True
462,TR,310858,PROVINCE,Kahramanmaras,True
463,IT,2523119,PROVINCE,Sicily,True
464,US,575,PROVINCE,"Chattanooga,DMA®",True
465,US,637,PROVINCE,"Cedar Rapids-Waterloo-Iowa City-Dubuque,DMA®",True
466,TR,321122,PROVINCE,Bilecik,True
467,SE,2721357,PROVINCE,Blekinge,True
468,US,505,PROVINCE,"Detroit,DMA®",True
469,TR,751816,PROVINCE,Artvin,True
470,US,630,PROVINCE,"Birmingham (Anniston-Tuscaloosa),DMA®",True
471,MX,3531011,PROVINCE,Chiapas,True
472,US,656,PROVINCE,"Panama City,DMA®",True
473,DE,2911297,PROVINCE,Hamburg,True
474,SA,103628,PROVINCE,Najran,True
475,US,547,PROVINCE,"Toledo,DMA®",True
476,RO,683902,PROVINCE,Braila,True
477,KZ,1523401,PROVINCE,Karaganda Region,True
478,TR,325302,PROVINCE,Afyonkarahisar,True
479,PL,3337494,PROVINCE,Lubusz,True
480,IT,3164604,PROVINCE,Veneto,True
481,TR,314829,PROVINCE,Gaziantep,True
482,SE,2673722,PROVINCE,Stockholm,True
483,AR,3834450,PROVINCE,Tierra del Fuego,True
484,US,581,PROVINCE,"Terre Haute,DMA®",True
485,PT,2742026,PROVINCE,Bragança,True
486,EG,361056,PROVINCE,Ismailia,True
487,PL,858785,PROVINCE,Lublin,True
488,US,526,PROVINCE,"Utica,DMA®",True
489,FI,830690,PROVINCE,Northern Savonia,True
490,US,554,PROVINCE,"Wheeling-Steubenville, OH,DMA®",True
491,IE,2964574,PROVINCE,Dublin City,True
492,SA,108933,PROVINCE,Al Qaseem,True
493,CH,2658205,PROVINCE,Valais,True
494,US,734,PROVINCE,"Jonesboro,DMA®",True
495,BR,3924825,PROVINCE,Rondonia,True
496,ZA,1085598,PROVINCE,North West,True
497,US,604,PROVINCE,"Columbia-Jefferson City,DMA®",True
498,KZ,1519367,PROVINCE,North Kazakhstan,True
499,KR,1841610,PROVINCE,Gyeonggi,True
500,US,652,PROVINCE,"Omaha,DMA®",True
501,US,605,PROVINCE,"Topeka,DMA®",True
502,US,540,PROVINCE,"Traverse City-Cadillac,DMA®",True
503,TR,312888,PROVINCE,Hakkari,True
504,JP,1856210,PROVINCE,Nagano,True
505,BR,3455077,PROVINCE,Parana,True
506,US,691,PROVINCE,"Huntsville-Decatur (Florence),DMA®",True
507,US,625,PROVINCE,"Waco-Temple-Bryan,DMA®",True
508,NL,2744011,PROVINCE,Zeeland,True
509,GB,6269131,PROVINCE,England,True
510,TR,304183,PROVINCE,Mugla,True
511,SA,108179,PROVINCE,Aseer,True
512,JP,1848681,PROVINCE,Yamaguchi,True
513,ES,2593113,PROVINCE,Valencian,True
