country_code,country_name,male_2534,female_2534,male_3544,female_3544,male_4554,female_4554,male_55plus,female_55plus,male_1317,female_1317,male_1824,female_1824
LAC,Latin America & Caribbean (excluding high income),47886303.0,47775951.0,43306235.0,44674570.0,35326557.0,37826320.0,27203292.0,30162756.0,270764.0,255172.0,312620.0,296009.0
LAO,Lao PDR,681388.0,670681.0,554038.0,542368.0,370856.0,369646.0,242354.0,262263.0,278882.0,262844.5,315914.0,299067.0
LBN,Lebanon,381295.0,410512.0,328060.0,374605.0,295621.0,344876.0,277118.0,315586.0,19482.5,18966.5,27482.5,26906.0
LBR,Liberia,404748.0,404386.0,300012.0,305227.0,204449.0,214959.0,123568.0,139588.0,19519.0,18881.5,28032.5,27254.5
LBY,Libya,551404.0,526575.0,551237.0,523747.0,515426.0,494866.0,294826.0,302521.0,19401.0,18653.5,28564.5,27564.5
LCA,St. Lucia,15968.0,15495.0,14069.0,14254.0,12049.0,12390.0,10211.0,11053.0,19050.5,18260.5,28384.5,27394.5
LCN,Latin America & Caribbean,52388597.0,52161875.0,47577247.0,49026530.0,39180792.0,41847027.0,30476290.0,33710543.0,18801.5,17983.0,27978.0,26986.0
LDC,Least developed countries: UN classification,89440687.0,92855414.0,64384006.0,67370121.0,43191190.0,45363478.0,27491560.0,30100813.0,1738.5,1563.5,2374.0,2385.5
LIC,Low income,57099278.0,57139067.0,38027281.0,38961924.0,25003476.0,26446907.0,15840150.0,17780423.0,1768.0,1592.0,2400.0,2369.5
LIE,Liechtenstein,2407.0,2405.0,2581.0,2582.0,2742.0,2776.0,3113.0,3213.0,1785.5,1608.5,2400.5,2326.5
LKA,Sri Lanka,1555947.0,1558165.0,1451780.0,1567175.0,1336886.0,1443168.0,1101829.0,1260487.0,1778.5,1607.0,2402.0,2280.5
LMC,Lower middle income,256295643.0,246160088.0,216349580.0,209547465.0,159160654.0,156297308.0,110355029.0,112812106.0,1748.0,1593.0,2406.5,2239.5
LMY,Low & middle income,519600033.0,495235449.0,476763754.0,462519338.0,375836437.0,374703598.0,295841409.0,308609739.0,595004.0,577135.5,788453.5,770154.5
LSO,Lesotho,197446.0,203053.0,162314.0,173601.0,77139.0,84229.0,42838.0,55900.0,600261.5,581912.0,792901.5,774290.0
LTE,Late-demographic dividend,164172897.0,148769762.0,188296904.0,178441569.0,164435615.0,163416253.0,151602861.0,159481124.0,605168.5,586417.0,797622.0,778643.0
LTU,Lithuania,198806.0,182747.0,205335.0,181909.0,183634.0,184351.0,181564.0,214728.0,608717.0,589690.0,802854.5,783445.0
LUX,Luxembourg,51750.0,48870.0,53701.0,52544.0,48957.0,47480.0,46091.0,43404.0,611109.0,591925.0,808873.5,789009.5
LVA,Latvia,100100.0,93203.0,136272.0,130398.0,121199.0,128522.0,113810.0,137521.0,7714166.0,7428184.0,11576379.0,11278441.0
MAC,"Macao SAR, China",48107.0,57228.0,58129.0,68913.0,41849.0,54130.0,36464.0,51993.0,7617275.0,7331312.0,11413989.0,11107717.0
MAF,St. Martin (French part),765.0,990.0,1179.0,1589.0,1429.0,1805.0,1802.0,2063.0,7521439.5,7236441.0,11234820.5,10922076.0
MAR,Morocco,2944953.0,2812845.0,2804584.0,2750550.0,2253637.0,2264311.0,1701598.0,1767288.0,7438667.0,7155553.0,11053477.0,10738010.0
MCO,Monaco,1874.0,1793.0,1717.0,1769.0,1655.0,1876.0,2565.0,2642.0,7376097.5,7094843.5,10878394.0,10563774.5
MDA,Moldova,133620.0,140105.0,183417.0,192241.0,139284.0,164426.0,125309.0,167364.0,9179.5,8942.5,13278.5,12918.5
MDG,Madagascar,2530140.0,2511154.0,1684728.0,1685069.0,1186970.0,1208441.0,718432.0,754230.0,9264.0,8975.5,13301.5,12900.5
MDV,Maldives,82327.0,35670.0,83332.0,39175.0,38936.0,23103.0,19371.0,15830.0,9278.5,8930.5,13223.0,12848.5
MEA,Middle East & North Africa,44758710.0,38783668.0,42897965.0,37258976.0,29674642.0,26735328.0,18911867.0,18432090.0,9248.5,8857.5,13063.5,12739.5
MEX,Mexico,10370957.0,10649238.0,8718110.0,9707153.0,7065494.0,8389238.0,5385968.0,6382383.0,9113.0,8737.0,12907.0,12598.0
MHL,Marshall Islands,1595.0,1576.0,2197.0,2252.0,1981.0,1959.0,1358.0,1318.0,16880.5,15604.5,28321.5,24326.5
MIC,Middle income,462500755.0,438096382.0,438736473.0,423557414.0,350832961.0,348256691.0,280001259.0,290829316.0,16571.5,15251.0,27370.0,24061.0
MKD,North Macedonia,113845.0,111026.0,124639.0,125501.0,122361.0,127511.0,117255.0,126234.0,16285.0,15006.5,26526.5,23765.0
MLI,Mali,1653392.0,1608813.0,1181038.0,1144969.0,756867.0,741212.0,389505.0,402240.0,16205.5,14966.0,25826.5,23477.5
MLT,Malta,47836.0,39104.0,53602.0,44597.0,41377.0,35766.0,32003.0,29960.0,16428.0,15128.5,25263.5,23198.0
MMR,Myanmar,4393684.0,4289390.0,4075184.0,4042912.0,3344742.0,3428880.0,2421099.0,2665748.0,35902.5,33346.0,53754.0,48081.0
MNA,Middle East & North Africa (excluding high income),34730633.0,33454830.0,33227220.0,32423817.0,24285978.0,23860555.0,16301037.0,16744296.0,35184.5,32465.5,53140.0,48446.5
MNE,Montenegro,36780.0,35698.0,40630.0,40792.0,38352.0,42178.0,36000.0,40602.0,34591.5,31699.0,52684.5,48684.5
MNG,Mongolia,251380.0,239066.0,272265.0,266121.0,198007.0,205863.0,131030.0,159349.0,34221.5,31167.0,52443.0,48764.5
MNP,Northern Mariana Islands,2109.0,1793.0,2647.0,2281.0,3594.0,3232.0,3779.0,3368.0,34065.5,30898.5,52360.5,48655.5
MOZ,Mozambique,2494933.0,2617117.0,1568011.0,1786580.0,932450.0,1144970.0,497144.0,671018.0,124968.5,123328.0,173574.5,172195.0
MRT,Mauritania,353678.0,384060.0,243491.0,275562.0,161192.0,187783.0,105073.0,120221.0,124232.0,122690.5,174227.0,173295.5
MUS,Mauritius,103392.0,95070.0,98282.0,89841.0,88989.0,87332.0,79291.0,82085.0,123101.0,121733.0,173553.5,173149.5
MWI,Malawi,1636184.0,1729288.0,1120893.0,1299406.0,680524.0,687510.0,314913.0,421626.0,122455.0,121152.0,172936.0,172600.0
