country_code,bucket,pen_total,pen_male,pen_female,gap_abs,gap_pct
ROU,2024,1.6274044366038212,1.4892,1.7713,-0.2821,-8.6519
ROU,2534,1.0708553790378288,1.0387,1.1045,-0.0658,-3.0685
ROU,3544,0.6756531119262094,0.6243,0.7304,-0.1061,-7.8317
ROU,4554,0.50439858727526,0.4552,0.5549,-0.0998,-9.8786
ROU,55plus,0.6214834328367261,0.5252,0.7109,-0.1857,-15.0256
SAU,1519,0.0012108193978110806,0.0012,0.0012,-0.0001,-2.9979
SAU,2024,8.322497281068351,10.1952,5.8121,4.3831,27.3815
SAU,2534,5.101087278423981,5.216,4.8897,0.3263,3.2293
SAU,3544,3.3661350977721805,3.3901,3.3162,0.0739,1.102
SAU,4554,1.371732204253486,0.9457,2.2351,-1.2894,-40.5363
SAU,55plus,2.529143810282965,2.4822,2.6121,-0.1299,-2.5496
SWE,1519,0.001578723854359567,0.0015,0.0016,-0.0001,-2.9701
SWE,2024,1.9370635235152605,1.5538,2.3489,-0.7951,-20.373
SWE,2534,0.8726200362002674,0.7467,1.0088,-0.2621,-14.9323
SWE,3544,0.35995109191057656,0.3113,0.4113,-0.1001,-13.8474
SWE,4554,0.26585240455096537,0.2232,0.3099,-0.0867,-16.2671
SWE,55plus,0.23056492669585346,0.1988,0.2629,-0.0641,-13.8871
TUR,1519,0.0004859269875264162,0.0005,0.0005,-0.0,-1.9808
TUR,2024,7.963803167791093,11.5178,4.2494,7.2684,46.0979
TUR,2534,2.7942225278797115,3.6382,1.9132,1.725,31.0727
TUR,3544,1.4748001120043799,1.8621,1.0792,0.7828,26.6155
TUR,4554,0.6751250521638236,0.6897,0.6605,0.0292,2.161
TUR,55plus,0.7150140740827869,0.9018,0.5335,0.3683,25.6601
UKR,1519,0.0009074517212997975,0.0009,0.0009,-0.0,-2.4417
UKR,2024,27.736071279930698,50.1335,4.6622,45.4713,82.9835
UKR,2534,4.214581595371393,4.8529,3.5615,1.2914,15.3479
UKR,3544,2.1740955643382383,3.3222,1.0068,2.3153,53.4842
UKR,4554,0.8523908020409687,0.7133,0.9769,-0.2637,-15.5995
UKR,55plus,0.6841866541927036,0.7579,0.622,0.1359,9.8479
URY,1519,0.00429050125926212,0.0042,0.0044,-0.0002,-2.2547
URY,2024,2.2954541660406336,2.1227,2.4755,-0.3528,-7.6726
URY,2534,1.881672410367162,2.1473,1.6073,0.54,14.3819
URY,3544,0.724437775729316,0.7719,0.6762,0.0956,6.6034
URY,4554,0.53442110536291,0.5845,0.4856,0.0989,9.2391
URY,55plus,0.6218707990642829,0.6275,0.6167,0.0108,0.8673
USA,1519,4.4949507094942574e-05,0.0,0.0,-0.0,-2.9765
USA,2024,1.2106178763152775,1.0945,1.3342,-0.2397,-9.8678
USA,2534,0.77431331252206,0.805,0.7414,0.0637,4.1167
USA,3544,0.7448611659320439,0.81,0.6756,0.1344,9.0453
USA,4554,0.5462431408123481,0.6041,0.4859,0.1182,10.8432
USA,55plus,0.6459078578939572,0.8168,0.4746,0.3423,26.503
ZAF,1519,0.0005516949171243896,0.0005,0.0006,-0.0,-0.4561
ZAF,2024,4.804233736461872,5.9307,3.6489,2.2818,23.8193
ZAF,2534,3.7614368979167145,4.3545,3.1766,1.1779,15.6407
ZAF,3544,2.3488496376582675,2.4121,2.2865,0.1256,2.6741
ZAF,4554,1.0619111600170696,0.7754,1.3317,-0.5563,-26.4015
ZAF,55plus,1.248081478762804,1.3559,1.1626,0.1933,7.6746
