country_code,bucket,pop_male,pop_female
LAC,4554,35326557.0,37826320.0
LAC,55plus,27203292.0,30162756.0
LAO,2024,359264.0,350750.0
LAO,2534,681388.0,670681.0
LAO,3544,554038.0,542368.0
LAO,4554,370856.0,369646.0
LAO,55plus,242354.0,262263.0
LBN,2024,253410.0,227905.0
LBN,2534,381295.0,410512.0
LBN,3544,328060.0,374605.0
LBN,4554,295621.0,344876.0
LBN,55plus,277118.0,315586.0
LBR,2024,275984.0,271841.0
LBR,2534,404748.0,404386.0
LBR,3544,300012.0,305227.0
LBR,4554,204449.0,214959.0
LBR,55plus,123568.0,139588.0
LBY,2024,319537.0,303076.0
LBY,2534,551404.0,526575.0
LBY,3544,551237.0,523747.0
LBY,4554,515426.0,494866.0
LBY,55plus,294826.0,302521.0
LCA,2024,6827.0,6562.0
LCA,2534,15968.0,15495.0
LCA,3544,14069.0,14254.0
LCA,4554,12049.0,12390.0
LCA,55plus,10211.0,11053.0
LCN,2024,26710372.0,25980259.0
LCN,2534,52388597.0,52161875.0
LCN,3544,47577247.0,49026530.0
LCN,4554,39180792.0,41847027.0
LCN,55plus,30476290.0,33710543.0
LDC,2024,56282283.0,56851155.0
LDC,2534,89440687.0,92855414.0
LDC,3544,64384006.0,67370121.0
LDC,4554,43191190.0,45363478.0
LDC,55plus,27491560.0,30100813.0
LIC,2024,36786272.0,36407992.0
LIC,2534,57099278.0,57139067.0
LIC,3544,38027281.0,38961924.0
LIC,4554,25003476.0,26446907.0
LIC,55plus,15840150.0,17780423.0
LIE,2024,1109.0,1070.0
LIE,2534,2407.0,2405.0
LIE,3544,2581.0,2582.0
LIE,4554,2742.0,2776.0
LIE,55plus,3113.0,3213.0
LKA,2024,836957.0,817169.0
LKA,2534,1555947.0,1558165.0
LKA,3544,1451780.0,1567175.0
LKA,4554,1336886.0,1443168.0
LKA,55plus,1101829.0,1260487.0
LMC,2024,143516977.0,136571038.0
LMC,2534,256295643.0,246160088.0
LMC,3544,216349580.0,209547465.0
LMC,4554,159160654.0,156297308.0
LMC,55plus,110355029.0,112812106.0
LMY,2024,276783029.0,261236046.0
LMY,2534,519600033.0,495235449.0
LMY,3544,476763754.0,462519338.0
LMY,4554,375836437.0,374703598.0
LMY,55plus,295841409.0,308609739.0
LSO,2024,111924.0,112336.0
