country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
GRC,4554,316000.0,409500.0,768642.0,794509.0,0.4111,0.5154,-0.1043,-11.2569,1.2959,1.0337,1.2537
GRC,55plus,290500.0,424000.0,696290.0,780361.0,0.4172,0.5433,-0.1261,-13.1307,1.4596,1.1207,1.3024
GTM,1519,500.0,500.0,958330.0,936564.0,0.0005,0.0005,-0.0,-1.1487,1.0,0.9773,1.0232
GTM,2024,1882000.0,1768500.0,939890.0,923662.0,2.0024,1.9147,0.0877,2.239,0.9397,0.9827,0.9562
GTM,2534,2676000.0,2103000.0,1654228.0,1643694.0,1.6177,1.2794,0.3382,11.675,0.7859,0.9936,0.791
GTM,3544,829500.0,658000.0,1194805.0,1214797.0,0.6943,0.5417,0.1526,12.3473,0.7932,1.0167,0.7802
GTM,4554,373000.0,321500.0,727927.0,799820.0,0.5124,0.402,0.1104,12.0791,0.8619,1.0988,0.7844
GTM,55plus,322000.0,329500.0,435724.0,532811.0,0.739,0.6184,0.1206,8.8832,1.0233,1.2228,0.8368
HUN,1519,500.0,500.0,254977.0,242320.0,0.002,0.0021,-0.0001,-2.5452,1.0,0.9504,1.0522
HUN,2024,329500.0,426500.0,258712.0,244073.0,1.2736,1.7474,-0.4738,-15.6837,1.2944,0.9434,1.3721
HUN,2534,476500.0,590500.0,594399.0,557183.0,0.8017,1.0598,-0.2581,-13.868,1.2392,0.9374,1.322
HUN,3544,264000.0,314000.0,641074.0,610664.0,0.4118,0.5142,-0.1024,-11.0567,1.1894,0.9526,1.2486
HUN,4554,236000.0,297000.0,780998.0,772498.0,0.3022,0.3845,-0.0823,-11.9843,1.2585,0.9891,1.2724
HUN,55plus,162000.0,229500.0,560855.0,612052.0,0.2888,0.375,-0.0861,-12.9741,1.4167,1.0913,1.2982
IRL,1519,500.0,500.0,192180.0,183453.0,0.0026,0.0027,-0.0001,-2.3233,1.0,0.9546,1.0476
IRL,2024,288500.0,445000.0,181715.0,175868.0,1.5877,2.5303,-0.9427,-22.8913,1.5425,0.9678,1.5938
IRL,2534,299500.0,439000.0,329170.0,322091.0,0.9099,1.363,-0.4531,-19.9357,1.4658,0.9785,1.498
